topic,question,options,answer,explanation,hint
iamyouare,"主語が「I」のときのbe動詞は？","am|are|is",am,"主語が「I」のbe動詞は必ず am になります。これは英語の基本ルールです。","be動詞は主語によって形が変わります。主語が「I」（私）のときに使う、特別なペアになるbe動詞を選びましょう。"
iamyouare,"主語が「You」のときのbe動詞は？","am|are|is",are,"主語が「You」のbe動詞は必ず are になります。「I am」と「You are」はセットで覚えましょう。","主語が「You」（あなた）のときに使うbe動詞は、現在形では常に同じ形になります。"
iamyouare,"「You are happy.」を疑問文にすると？","Happy you are?|You are happy?|Are you happy?",Are you happy?,"be動詞の文を疑問文にするときは、be動詞を主語の前に移動させます。","be動詞の文を疑問文にするには、ある単語を文の先頭に移動させるルールがあります。どの単語を移動させるでしょう？"
iamyouare,"「Am I a student?」への正しい返答は？","Yes I am.|Yes you are.|Yes you do.",Yes you are.,"「私は〜ですか？」と聞かれているので相手の視点から「はい、あなたは〜です」と答えます。","質問の主語が「私(I)」のとき、答える人の視点では主語は「あなた(You)」に変わります。主語が「You」のときのbe動詞は何でしたか？"
iamyouare,"空欄を埋めよう: I (___) from Canada.","am|are|is",am,"主語が「I」なので、be動詞は am を使います。","「私はカナダ出身です」という意味になるように、be動詞を選びましょう。"
iamyouare,"空欄を埋めよう: You (___) very kind.","am|are|is",are,"主語が「You」なので、be動詞は are を使います。","「あなたはとても親切です」という意味になるように、be動詞を選びましょう。"
iamyouare,"「I am busy.」を否定文にすると？","I am not busy.|I not am busy.|I no busy.",I am not busy.,"否定文は be動詞 (am) のすぐ後ろに not を置きます。","否定の not は、be動詞の前と後ろ、どちらに置くのが正しいルールでしたか？"
iamyouare,"「Are you tired?」への正しい返答は？","Yes you are.|No I am not.|Yes I am.",Yes I am.,"「あなたは〜ですか？」と聞かれているので「はい、私は〜です」と答えます。主語は I になり、be動詞は am を使います。","質問の主語が「あなた(You)」なので、答えの主語は「私(I)」になります。"
iamyouare,"「I'm」は何の短縮形？","I am|I will|I have",I am,"I'm は I am の短縮形です。会話やカジュアルな文章でよく使われます。","アポストロフィ (') は、単語を短くするときに使われる記号です。"
iamyouare,"「You're」は何の短縮形？","You were|You are|You will",You are,"You're は You are の短縮形です。","You're welcome. (どういたしまして) というときの You're です。"
iamyouare,"空欄を埋めよう: (___) I right?","Am|Are|Is",Am,"疑問文で主語が「I」のときは、Am を文の先頭に置きます。","「私は正しいですか？」と質問するときの、文の最初の単語です。"
iamyouare,"空欄を埋めよう: (___) you from Australia?","Am|Are|Is",Are,"疑問文で主語が「You」のときは、Are を文の先頭に置きます。","相手に出身地を尋ねるときの、文の最初の単語です。"
iamyouare,"「You are not a teacher.」を短縮形にすると？","You're not a teacher.|You aren't a teacher.|どちらも正しい",どちらも正しい,"You are not は You're not と You aren't の2種類の短縮形があります。どちらも同じ意味です。","You are を短縮する方法と、are not を短縮する方法の2つがあります。"
iamyouare,"正しい文を選ぼう。","I is happy.|I are happy.|I am happy.",I am happy.,"主語「I」とbe動詞「am」の組み合わせが正しい形です。","「私」を表す主語に続くbe動詞の形を思い出しましょう。"
iamyouare,"正しい文を選ぼう。","You is a singer.|You are a singer.|You am a singer.",You are a singer.,"主語「You」とbe動詞「are」の組み合わせが正しい形です。","「あなた」を表す主語に続くbe動詞の形を思い出しましょう。"
iamyouare,"「I am not sleepy.」を日本語にすると？","私は眠いです。|私は眠くありません。|私は起きています。",私は眠くありません。,"not は「〜ではない」という否定の意味を持つ単語です。","sleepyは「眠い」という意味です。not がつくとどうなるでしょう？"
iamyouare,"「Are you hungry?」と聞かれたときの、Noの答えは？","No I am.|No I not.|No I am not.",No I am not.,"No のあとに、主語+be動詞+not を続けます。","「いいえ、私はお腹が空いていません」と答えるときの形です。"
iamyouare,"「I am a tennis player.」を疑問文にすると？","Are I a tennis player?|Am I a tennis player?|Do I a tennis player?",Am I a tennis player?,"be動詞の文を疑問文にするには、be動詞 (am) を文の先頭に移動させます。","「私」が主語のときのbe動詞は am です。これを文の最初に持ってきましょう。"
iamyouare,"「You are in the classroom.」を否定文にすると？","You are not in the classroom.|You no in the classroom.|You not are in the classroom.",You are not in the classroom.,"否定文は be動詞 (are) のすぐ後ろに not を置きます。","not を置く正しい場所はどこだったか思い出しましょう。"
iamyouare,"空欄を埋めよう: A: Am I late? B: No you (___).","don't|isn't|aren't",aren't,"Am I ...? と聞かれたときの No の返事は No you are not. です。その短縮形が aren't です。","相手に「あなたは〜ではありません」と答えるときの、be動詞の否定形です。"
heshe,"主語が「He」のときのbe動詞は？","am|are|is",is,"主語が He (彼) や She (彼女) のときのbe動詞は is を使います。","「彼」や「彼女」など、自分と相手以外の「一人」の人や物を指すときのbe動詞を選びましょう。"
heshe,"「彼女は先生です」を英語にすると？","She are a teacher.|She is a teacher.|She am a teacher.",She is a teacher.,"主語が「彼女 (She)」なので、be動詞は is を使います。","主語が「She」のときの正しいbe動詞のペアを選んでください。"
heshe,"「He is busy.」を否定文にすると？","He is not busy.|He not is busy.|He no busy.",He is not busy.,"否定文は be動詞 (is) のすぐ後ろに not を置きます。「He isn't busy.」という短縮形もよく使われます。","否定の「not」は、be動詞の前と後ろ、どちらに置くのが正しいルールでしたか？"
heshe,"「Is she tired?」への正しい返答は？","Yes she is.|Yes I am.|Yes she does.",Yes she is.,"質問の主語が「彼女 (She)」なので、答えの主語も She になります。be動詞の質問にはbe動詞で答えます。","質問で使われている主語（She）と動詞（Is）に注目して、そのまま答えるのが基本です。"
heshe,"空欄を埋めよう: Ken (___) my friend.","am|are|is",is,"Kenは「彼 (He)」と同じ扱いなので、be動詞は is を使います。","人の名前（一人）が主語のときのbe動詞は何でしょう？"
heshe,"空欄を埋めよう: My sister (___) a doctor.","am|are|is",is,"My sister (私の姉/妹) は「彼女 (She)」と同じ扱いなので、be動詞は is を使います。","sister は一人なので、He や She と同じbe動詞を使います。"
heshe,"「She is a student.」を疑問文にすると？","Is she a student?|Does she a student?|She is a student?",Is she a student?,"be動詞の文を疑問文にするには、be動詞 (is) を文の先頭に移動させます。","文の作りは「Are you...?」のときと同じです。be動詞を前に出しましょう。"
heshe,"「He's」は何の短縮形？","He was|He has|He is",He is,"He's は He is の短縮形です。","'s は is を短くした形です。"
heshe,"「She isn't」は何の短縮形？","She is not|She has not|She was not",She is not,"She isn't は She is not の短縮形です。","n't は not を短くした形です。"
heshe,"空欄を埋めよう: This (___) a pen.","am|are|is",is,"This (これ) は「それ (It)」と同じ扱いで、be動詞は is を使います。","人以外の「一つのもの」を指すときのbe動詞です。"
heshe,"「Is he your brother?」への No の返答は？","No he is.|No he isn't.|No he doesn't.",No he isn't.,"Is he...? と聞かれたときの No の返事は No he is not. です。その短縮形が isn't です。","「いいえ、彼は〜ではありません」と答えるときの、短縮形を選びましょう。"
heshe,"正しい文を選ぼう。","She is from Japan.|She are from Japan.|She am from Japan.",She is from Japan.,"主語が「She」なので、be動詞は is を使うのが正しい形です。","「彼女」が主語のときの正しいbe動詞のペアを選んでください。"
heshe,"「It is a cat.」の「It is」を短縮すると？","Its|It's|Ites",It's,"It is の短縮形は It's です。Itsは「それの」という意味で全く違う単語なので注意しましょう。","アポストロフィ (') を使って is を短くする形です。"
heshe,"空欄を埋めよう: Emily (___) not here.","am|are|is",is,"Emilyは「彼女 (She)」と同じ扱いなので、be動詞は is を使います。","人の名前（一人）が主語のときの否定文です。"
heshe,"「He is a soccer player.」を日本語にすると？","彼はサッカー選手でした。|彼はサッカー選手です。|彼はサッカーをします。",彼はサッカー選手です。,"is は「〜です」という現在の状態を表します。","is は「過去」ではなく「現在」を表すbe動詞です。"
heshe,"空欄を埋めよう: A: Is this your bag? B: Yes (___) is.","this|it|that",it,"This や That で聞かれた質問に答えるときは、it を使うのが一般的です。","「はい、それは私のです」と答えるときの「それ」にあたる単語です。"
heshe,"「That is not my book.」を短縮形にすると？","That's not my book.|That isn't my book.|どちらも正しい",どちらも正しい,"That is not は That's not と That isn't の2種類の短縮形があります。どちらも同じ意味です。","That is を短縮する方法と、is not を短縮する方法の2つがあります。"
heshe,"主語が「My father」のときのbe動詞は？","am|are|is",is,"My father (私のお父さん) は「彼 (He)」と同じなので、be動詞は is です。","お父さんは一人なので、三人称単数扱いになります。"
heshe,"正しい文を選ぼう。","He am a pilot.|He are a pilot.|He is a pilot.",He is a pilot.,"主語が「He」のときのbe動詞は is です。","「彼」が主語のときの正しい組み合わせを選びましょう。"
heshe,"「Is she a good singer?」を日本語にすると？","彼女は歌が上手いですか？|彼女は良い歌手でしたか？|彼女は歌いますか？",彼女は歌が上手いですか？,"Is she...? は「彼女は〜ですか？」と現在の状態について尋ねる質問です。","good singer は「上手な歌手」という意味です。"